date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:27:56	90/90	---M-Z	200	added ('OK')	text/css	etag:%225a-61a27841ffec0-gzip%22	https://rayyap.com/wp-content/themes/woodmart/css/parts/header-el-mobile-nav-dropdown.min.css?ver=7.5.1	C:/Users/XPRISTO/Desktop/reservation/1/rayyap.com/wp-content/themes/woodmart/css/parts/header-el-mobile-nav-dropdown.min8c10.css	(from https://rayyap.com/reservation/)
15:27:57	598/598	---M-Z	200	added ('OK')	text/css	etag:%22256-61a27841ffec0-gzip%22	https://rayyap.com/wp-content/themes/woodmart/css/parts/page-title.min.css?ver=7.5.1	C:/Users/XPRISTO/Desktop/reservation/1/rayyap.com/wp-content/themes/woodmart/css/parts/page-title.min8c10.css	(from https://rayyap.com/reservation/)
15:27:57	1072/1072	---M-Z	200	added ('OK')	text/css	etag:%22430-61a27841ffec0-gzip%22	https://rayyap.com/wp-content/themes/woodmart/css/parts/footer-base-rtl.min.css?ver=7.5.1	C:/Users/XPRISTO/Desktop/reservation/1/rayyap.com/wp-content/themes/woodmart/css/parts/footer-base-rtl.min8c10.css	(from https://rayyap.com/reservation/)
15:27:57	2999/2999	---M-Z	200	added ('OK')	text/css	etag:%22bb7-61a278410bc80-gzip%22	https://rayyap.com/wp-content/uploads/2024/05/xts-theme_settings_default-1716522025.css?ver=7.5.1	C:/Users/XPRISTO/Desktop/reservation/1/rayyap.com/wp-content/uploads/2024/05/xts-theme_settings_default-17165220258c10.css	(from https://rayyap.com/reservation/)
15:27:58	87553/87553	---M-Z	200	added ('OK')	application/javascript	etag:%2215601-61a27841ffec0-gzip%22	https://rayyap.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/Users/XPRISTO/Desktop/reservation/1/rayyap.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://rayyap.com/reservation/)
15:27:58	13577/13577	---M-Z	200	added ('OK')	application/javascript	etag:%223509-61a27841ffec0-gzip%22	https://rayyap.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/Users/XPRISTO/Desktop/reservation/1/rayyap.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://rayyap.com/reservation/)
15:27:58	3171/3171	---M-Z	200	added ('OK')	application/javascript	etag:%22c63-61a27841ffec0-gzip%22	https://rayyap.com/wp-content/themes/woodmart/js/libs/device.min.js?ver=7.5.1	C:/Users/XPRISTO/Desktop/reservation/1/rayyap.com/wp-content/themes/woodmart/js/libs/device.min8c10.js	(from https://rayyap.com/reservation/)
15:27:58	356/356	---M-Z	200	added ('OK')	application/javascript	etag:%22164-61a27841ffec0-gzip%22	https://rayyap.com/wp-content/themes/woodmart/js/scripts/global/scrollBar.min.js?ver=7.5.1	C:/Users/XPRISTO/Desktop/reservation/1/rayyap.com/wp-content/themes/woodmart/js/scripts/global/scrollBar.min8c10.js	(from https://rayyap.com/reservation/)
15:27:59	250016/250016	---M--	200	added ('OK')	image/png	etag:%223d0a0-61a278410bc80%22	https://rayyap.com/wp-content/uploads/2024/05/rayyanlogo.png	C:/Users/XPRISTO/Desktop/reservation/1/rayyap.com/wp-content/uploads/2024/05/rayyanlogo.png	(from https://rayyap.com/reservation/)
15:27:59	37878/37878	---M--	200	added ('OK')	image/jpeg	etag:%22v1f%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiAKI8nW2hbnhqDGAC62tdYKCZDJPUClZ-7wAHhrPgeVMaALGalWU7mHH4xAGclNNd9iXYJ6gWWj0LSjxF7PuCutNGPk-D7AjLruKAPYnYBarw84LWVbpDq73diZRTd8INOg_36JiY9WUv6-TK0_AJBV6LrkpjIqm8_tuFHnDMShHeIEcZ9c-HAABERN2o/s458/57YH.jpg	C:/Users/XPRISTO/Desktop/reservation/1/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiAKI8nW2hbnhqDGAC62tdYKCZDJPUClZ-7wAHhrPg/s458/57YH.jpg	(from https://rayyap.com/reservation/)
